tweet,label
Penyidik Polda Jatim periksa salah satu dokter di Malang sebagai saksi kasus tragedi Kanjuruhan. #Nusantara #AdadiKompas  https://t.co/mIYLFV1MZP,positif
Penyidik Polda Jatim periksa salah satu dokter di Malang sebagai saksi kasus tragedi Kanjuruhan. #Nusantara #AdadiKompas  https://t.co/FgA6kgilZI,positif
Kalau urusan yg ginian cepat amat Giliran urusan  Tragedi Kanjuruhan Lama bangeettt,netral
@MaduroPoiares I think it's related tp indonesia's security related to kanjuruhan tragedy.,netral
Dokter RS Wava Husada diperiksa sebagai saksi dalam tragedi Kanjuruhan. Ia diperiksa oleh penyidik Polda Jatim di Polres Malang  https://t.co/RduFSquNXs,positif
"40 Hari pasca tragedi Kanjuruhan, AHY ajak masyarakat kawal investigasi hingga tuntas  https://t.co/vQVhdFtzZv",netral
@detikcom @detik_jatim Kelanjutan tragedi kanjuruhan gimana ya? Kok mulai beralih ke bokep²an,netral
Ferry Paulus Jadi Direktur Utama PT LIB Gantikan Akhmad Hadian Lukita  https://t.co/9fWVjxgy8x baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScVr9   #ferrypaulus #ptlib #dirutptlib #akhmadhadianlukita #persijajakarta #liga1 #pssi #tragedikanjuruhan,positif
Hasil RUPS Luar Biasa PT LIB: Ferry Paulus Jadi Direktur Utama   https://t.co/K1sFo1GQXD baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScnBB   #ptlib #ferrypaulus #liga1 #akhmadhadianlukita #persijajakarta #tragedikanjuruhan #aremafc #persebayasurabaya,postif
40 Hari Tragedi Kanjuruhan dalam Catatan Bambang Widjojanto dan Novel Baswedan #TempoNasional  https://t.co/5gLeuPf0OK
"Kasian persija, dg squad yg memang layak juara sepertinya akan mendapat gelar si anak papa. Ya, menunjukkan bahwa MEREKA tidak ingin melihat fans ""adem"" Sekarang stlh tragedi kanjuruhan pilihannya ada di supporter sendiri, mau tetap tunduk &amp; diadu domba atau memilih untuk WARAS👀",positif
Busana bertema tragedi Kanjuruhan - ANTARA Jawa Timur  https://t.co/LSWGR6o5ls,netral
@iIhamzada Puas tak puas kita lihat langkahnya. Semoga #tragediKanjuruhan bisa diusut dan jadi perbaikan dalam manajemen dan penyelenggaraan liga ke depan. Aamiin.,positif
"Prestasi @PSSI era pak Iwan Bule:  Tragedi Kanjuruhan 135 korban meninggal, tragedi sepakbola nomor 2 paling mematikan di dunia.  #UsutTuntas #UsutTuntasTragediKanjuruhan",positif
Sejuta Surat dari Aremania untuk Presiden Jokowi Menuntut Usut Tuntas Tragedi Kanjuruhan  https://t.co/g7cGb4lEN3,positif
"@collegemenfess Bantu jawab klo dari segi bencana, tragedi Kanjuruhan bisa dianggap sbg bencana nder (sesuai dgn definisi bencana itu sendiri) dan termasuk ke bencana sosial. Nah klo dikaitkan ke krisis aku kurang paham sih, klo bencana sendiri bisa menyebabkan krisis, sepertinya bisa termasuk",netral
"Keluarga 6 Korban Tragedi Kanjuruhan Sudah Melapor, Ada Kemungkinan Bertambah?  https://t.co/pWyY2W5K1Q",positif
"AHY: Tragedi Kanjuruhan Insiden Yang Memilukan, Juga Memalukan    //oleh: Redaksi --- #BeritaSumbar   https://t.co/BXInAOFdq7",positif
"Kapolres Malang, AKBP Putu Kholis Aryana sudah menerima laporan dari keluarga korban tragedi Kanjuruhan. Selanjutnya, perkara laporan akan diproses  https://t.co/Yg43nIAZFV",positif
"Usut Tragedi Kanjuruhan, Polda Jatim Mintai Keterangan 12 Dokter RS Wava Husada  #LengkapCepatBeritanya #BeritaTerkini  .  https://t.co/NVU7Fb6cUU",netral
@LuthAbid @GOAL_ID sebenarnya bapak ini aneh... sih kemarin sama pangeran waktu lagi bahas tragedi kanjuruhan di tv bapak ini termasuk setuju PSSI jadi tersangka dan pihak bertanggung jawab . walau gak ngotot tapi dia setuju kayaknya bapak ini udah kena stir setelah dari tv,netral
Sosok @erickthohir digadang menjadi Ketum PSSI. Hal itu karena publik menilai ET mampu menjalankan peran tsb dgn sebelumnya ET berhasil menghapuskan sanksi yang akan diberikan FIFA kepada sepak bola Indonesia terkait tragedi Kanjuruhan bbrp waktu lalu.k    #BangkitBersamaET  https://t.co/JOwmGdPsQb,netral
"Terpilih Sebagai Direktur Utama PT LIB, Ferry Paulus: Ini Jabatan Berat  https://t.co/nVwsQhi6qH baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScVr9   #ferrypaulus #lib #direkturutamaptlib #pssi #akhmadhadianlukita #tragedikanjuruhan",positif
"H+2 Tragedi Kanjuruhan, pas doa bersama di Stadion Gajayana, atas wafatnya dulur-dulurku kabeh.",positif
